qid	title	year	reach	score	via
Q10483255	A Dreamer's Journey	1957	13	13.00	cinematographer:13
Q10512398	Guest at One's Own Home	1957	13	13.00	cinematographer:13
Q18019280	The Angel Who Pawned Her Harp	1959	13	13.00	cinematographer:13
Q4251571	The Judge	1960	13	13.00	cinematographer:13
Q20971455	Stage Fright	1960	13	13.00	cinematographer:13
Q10467411	A Matter of Morals	1961	13	13.00	cinematographer:13
Q3230506	Loving Couples	1964	13	13.00	cinematographer:13
Q1760893	Roseanna	1967	13	13.00	cinematographer:13
Q4749665	An-Magritt	1969	13	13.00	cinematographer:13
Q1758563	One Day in the Life of Ivan Denisovich	1970	13	13.00	cinematographer:13
Q5002116	Buster's Bedroom	1990	13	13.00	cinematographer:13
Q107167	Sleepless in Seattle	1993	13	13.00	cinematographer:13
Q1516405	White Nights	1957	15	12.95	cinematographer:2 editor:2 composer:10 screenwriter:1 cast:1
Q337090	King Arthur	2004	14	12.95	cinematographer:3 editor:3 composer:7 screenwriter:1 cast:3
Q2709504	The Beaches of Agnès	2008	13	12.95	director:4 cinematographer:3 composer:2 screenwriter:4 cast:3
Q4657645	A Last Note	1995	11	12.95	director:3 composer:5 screenwriter:3 cast:13
Q1498130	Exposed	1983	13	12.95	cinematographer:6 editor:1 composer:6 cast:5
Q60833546	An Officer and a Spy	2019	13	12.95	director:6 composer:1 screenwriter:6 cast:3
Q5380645	Where Chimneys Are Seen	1953	11	12.95	composer:2 screenwriter:9 cast:13
Q1092349	The Five Days	1973	14	12.90	director:3 cinematographer:2 editor:3 composer:2 screenwriter:4
Q116361132	Nosferatu	2024	12	12.90	director:3 cinematographer:3 editor:3 screenwriter:3 cast:6
Q129088	'Tis Pity She's a Whore	1971	15	12.90	cinematographer:3 editor:3 composer:9
Q930540	Wolf	1994	15	12.90	director:1 cinematographer:2 editor:3 composer:9
Q471159	Born on the Fourth of July	1989	14	12.90	cinematographer:1 composer:13 cast:6
Q1458177	The Other Side of the Wind	2018	13	12.90	director:3 composer:6 screenwriter:4 cast:6
Q472690	The Defector	1966	12	12.90	cinematographer:11 editor:1 cast:4
Q993428	Seven Guns for the MacGregors	1966	15	12.85	editor:4 composer:9 screenwriter:2 cast:1
Q647316	Orca	1977	15	12.85	editor:1 composer:9 screenwriter:5 cast:1
Q2017500	United Red Army	2007	14	12.85	editor:14 cast:1
Q4941	Skyfall	2012	13	12.85	cinematographer:10 editor:1 composer:1 screenwriter:1 cast:1
Q1142799	Rabbit-Proof Fence	2002	12	12.85	cinematographer:9 editor:2 composer:1 cast:5
Q18245342	The Lie	1970	14	12.85	screenwriter:14 cast:1
Q1141694	Sunday's Children	1992	14	12.85	screenwriter:14 cast:1
Q470692	The Beach	2000	13	12.85	director:3 cinematographer:2 editor:1 composer:6 screenwriter:1 cast:5
Q686395	Death in the Garden	1956	12	12.85	director:5 composer:2 screenwriter:5 cast:7
Q1518939	Ride the Pink Horse	1947	14	12.80	cinematographer:6 composer:4 screenwriter:4
Q1218309	The Mercenary	1968	15	12.80	director:2 editor:1 composer:9 screenwriter:3
Q1547262	Stanley & Iris	1990	15	12.80	cinematographer:1 editor:1 composer:13 cast:2
Q1485385	Gloria	1999	15	12.80	director:3 cinematographer:1 composer:11
Q24871	Avatar	2009	14	12.80	director:5 editor:1 composer:3 screenwriter:5
Q3793325	Il carro armato dell'8 settembre	1960	13	12.80	cinematographer:1 screenwriter:12 cast:4
Q613485	To Live and Die in L.A.	1985	12	12.80	director:3 cinematographer:7 editor:2 cast:4
Q2305376	Scream of Stone	1991	12	12.80	director:10 editor:2 cast:4
Q518379	Duel of the Titans	1961	13	12.80	director:5 cinematographer:1 screenwriter:7 cast:2
Q3965942	Shoot Loud, Louder... I Don't Understand	1966	15	12.75	editor:4 composer:10 screenwriter:1 cast:1
Q11487700	Stakeout	1958	14	12.75	composer:6 screenwriter:8 cast:3
Q570143	Spies	1928	13	12.75	director:5 cinematographer:3 screenwriter:5 cast:1
Q2733208	Journey into Fear	1943	13	12.75	director:3 cinematographer:1 composer:1 screenwriter:8 cast:3
Q4659647	The Human Condition III: A Soldier's Prayer	1961	11	12.75	director:4 cinematographer:3 editor:2 composer:1 screenwriter:1 cast:9
Q642410	That Thing You Do!	1996	15	12.75	cinematographer:1 editor:3 composer:11 cast:1
Q1143361	A Slightly Pregnant Man	1973	12	12.75	director:2 cinematographer:1 editor:1 composer:6 screenwriter:2 cast:9
Q3529353	The Army Game	1961	11	12.75	cinematographer:11 cast:7
Q3281762	Era lui... sì! sì!	1951	15	12.70	cinematographer:2 editor:3 composer:10
Q517265	Romeo and Juliet	1968	15	12.70	cinematographer:2 editor:3 composer:10
Q1467748	Tigers in Lipstick	1979	13	12.70	editor:3 screenwriter:10 cast:4
Q387868	Guilty as Sin	1993	15	12.70	director:3 editor:1 composer:11
Q1779102	Terminal Station	1953	14	12.70	director:1 cinematographer:1 editor:6 composer:1 screenwriter:5
Q4004300	Run for Your Wife	1965	14	12.70	cinematographer:1 editor:6 screenwriter:7
Q3794891	Il mostro	1977	14	12.70	editor:3 composer:9 screenwriter:2 cast:4
Q4408105	Shirin	2008	12	12.70	director:4 editor:4 screenwriter:4 cast:6
Q2153352	My American Uncle	1980	11	12.70	director:4 cinematographer:4 editor:1 screenwriter:2 cast:8
Q169564	Carnage	2011	13	12.70	director:6 composer:1 screenwriter:6 cast:2
Q232003	Compañeros	1970	14	12.65	director:2 editor:1 composer:9 screenwriter:2 cast:3
Q2628802	Ogro	1979	14	12.65	director:1 cinematographer:1 editor:1 composer:9 screenwriter:2 cast:3
Q3639429	Bianco, rosso e Verdone	1981	14	12.65	cinematographer:2 editor:3 composer:9 cast:3
Q17708	The Plot of the Fuma Clan	1987	14	12.60	editor:14
Q2411962	Little Nemo: Adventures in Slumberland	1989	14	12.60	editor:14
Q1294193	Farewell to Nostradamus	1995	14	12.60	editor:14
Q406705	Lupin III: Dead or Alive	1996	14	12.60	editor:14
Q2395290	Nasu: Summer in Andalusia	2003	14	12.60	editor:14
Q4912095	Gintama: The Movie	2010	14	12.60	editor:14
Q14542320	Gintama: The Movie: The Final Chapter: Be Forever Yorozuya	2013	14	12.60	editor:14
Q7430222	Scar Yosaburo	1960	13	12.60	cinematographer:6 composer:7 cast:4
Q644174	The Story of Qiu Ju	1992	13	12.60	director:4 editor:3 composer:5 screenwriter:1 cast:4
Q3391076	Unknown Pleasures	2002	12	12.60	director:4 cinematographer:4 screenwriter:4 cast:4
Q2815231	24 City	2008	12	12.60	director:4 cinematographer:4 screenwriter:4 cast:4
Q83656	Kinsey	2004	15	12.60	cinematographer:3 composer:12
Q3485336	Last Pair Out	1956	14	12.60	screenwriter:14
Q3854615	Menage all'italiana	1965	14	12.60	cinematographer:4 composer:9 screenwriter:1 cast:2
Q446633	A Little Night Music	1977	14	12.60	screenwriter:14
Q505790	Mission: Impossible 2	2000	14	12.55	director:3 cinematographer:1 composer:7 screenwriter:3 cast:1
Q2637276	Europe '51	1952	13	12.55	director:1 cinematographer:1 editor:1 composer:1 screenwriter:9 cast:3
Q634325	The Rare Breed	1966	15	12.55	cinematographer:1 editor:1 composer:13 cast:1
Q934036	Fiddler on the Roof	1971	15	12.55	cinematographer:1 editor:1 composer:13 cast:1
Q602522	The Eiger Sanction	1975	15	12.55	director:1 editor:1 composer:13 cast:1
Q220655	The Hi-Lo Country	1998	15	12.55	editor:1 composer:12 screenwriter:2 cast:1
Q965569	The Nun	1966	11	12.55	director:3 cinematographer:2 editor:1 composer:1 screenwriter:4 cast:9
Q3792851	Bullet for Stefano	1947	13	12.55	cinematographer:1 editor:2 screenwriter:10 cast:3
Q552747	The Burning Soil	1922	13	12.50	director:3 cinematographer:5 screenwriter:5
Q1194870	The Colossus of Rhodes	1961	13	12.50	director:3 editor:6 screenwriter:4 cast:2
Q108525	The Untouchables	1987	14	12.50	director:1 cinematographer:2 editor:2 composer:9 cast:2
Q1412037	Silkwood	1983	13	12.50	director:1 cinematographer:3 editor:3 composer:6 cast:4
Q551552	A Love in Germany	1983	12	12.50	director:2 cinematographer:1 editor:1 composer:6 screenwriter:2 cast:8
Q166588	Red Sorghum	1988	12	12.50	director:4 cinematographer:3 composer:5 cast:6
Q998396	L'emmerdeur	1973	11	12.50	cinematographer:11 cast:6
Q1517057	Let Sleeping Cops Lie	1988	11	12.50	cinematographer:11 cast:6
Q5383731	Epitome	1953	8	12.50	director:3 cinematographer:1 composer:1 screenwriter:3 cast:20
Q319783	Rambo: First Blood Part II	1985	14	12.50	cinematographer:3 editor:2 composer:4 screenwriter:5
Q223043	A Patch of Blue	1965	13	12.45	cinematographer:9 composer:4 cast:1
Q3548745	A Dangerous Toy	1979	14	12.45	editor:3 composer:9 screenwriter:2 cast:3
Q741042	Panic Room	2002	14	12.45	cinematographer:2 composer:11 screenwriter:1 cast:3
Q741845	Woman of Rome	1954	13	12.45	editor:6 screenwriter:7 cast:3
Q521094	The Devil's Own	1997	13	12.45	director:3 cinematographer:5 editor:2 composer:3 cast:1
Q6142495	Lucky Dragon No. 5	1959	11	12.45	director:3 composer:5 screenwriter:3 cast:11
Q1123507	Edo Porn	1981	11	12.45	director:3 composer:5 screenwriter:3 cast:11
Q406936	The Sucker	1965	13	12.45	cinematographer:6 editor:1 composer:6 cast:3
Q4656289	A Day at the Beach	1970	13	12.45	cinematographer:5 editor:2 screenwriter:6 cast:1
Q157879	The Ghost Writer	2010	13	12.45	director:6 composer:1 screenwriter:6 cast:1
Q11390744	Venus in Fur	2013	13	12.45	director:6 composer:1 screenwriter:6 cast:1
Q29582805	Based on a True Story	2017	13	12.45	director:6 composer:1 screenwriter:6 cast:1
Q6545255	Life of a Woman	1953	7	12.45	director:3 cinematographer:1 screenwriter:3 cast:23
Q1059914	Death on the Nile	1978	14	12.40	cinematographer:3 composer:10 screenwriter:1 cast:2
Q958327	Ulysses	1954	13	12.40	director:2 cinematographer:1 editor:4 composer:1 screenwriter:5 cast:2
Q1211921	The Cowboys	1972	15	12.40	cinematographer:2 composer:13
Q1431506	The Triangle	2001	15	12.40	cinematographer:2 composer:13
Q839916	7 Faces of Dr. Lao	1964	14	12.40	editor:8 composer:2 screenwriter:4
Q3212221	The Lady of Monza	1969	14	12.40	cinematographer:2 editor:1 composer:9 screenwriter:2 cast:2
Q443326	Sonny and Jed	1972	14	12.40	director:2 editor:1 composer:9 screenwriter:2 cast:2
Q523197	How Do You Know	2010	14	12.40	cinematographer:5 editor:2 composer:7
Q3520080	The Boy from Oklahoma	1954	13	12.40	director:1 cinematographer:9 composer:3
Q1570275	Thunderheart	1992	13	12.40	cinematographer:10 composer:3
Q508841	House of Sand and Fog	2003	13	12.40	cinematographer:10 composer:3
Q1053770	Villain	2010	13	12.40	composer:13 cast:8
Q27492140	The Killing of a Sacred Deer	2017	12	12.40	director:4 cinematographer:2 editor:4 screenwriter:2 cast:4
Q760093	Edge of Darkness	2010	14	12.35	cinematographer:1 editor:1 composer:11 screenwriter:1 cast:3
Q109116	The Great Dictator	1940	13	12.35	director:3 cinematographer:4 composer:3 screenwriter:3 cast:1
Q3570966	Xiao Wu	1997	12	12.35	director:4 cinematographer:4 screenwriter:4 cast:3
Q485759	Tokyo!	2008	12	12.35	director:5 composer:2 screenwriter:5 cast:5
Q3790755	The Best of Enemies	1961	14	12.30	cinematographer:2 composer:10 screenwriter:2 cast:2
Q2080652	John Goldfarb, Please Come Home!	1965	15	12.30	cinematographer:1 composer:13 screenwriter:1
Q646633	The Patriot	2000	14	12.30	composer:13 screenwriter:1 cast:4
Q80617	My Friends	1975	13	12.30	cinematographer:2 editor:4 composer:1 screenwriter:6 cast:2
Q551623	Circle of Deceit	1981	12	12.30	director:2 cinematographer:1 editor:2 composer:3 screenwriter:4 cast:6
Q3425330	The Glass Mountain	1950	14	12.25	cinematographer:4 composer:10 cast:1
Q1216853	Tragedy of a Ridiculous Man	1981	14	12.25	director:1 cinematographer:2 composer:9 screenwriter:2 cast:1
Q1217981	Bay of Angels	1963	13	12.25	director:2 cinematographer:2 editor:1 composer:6 screenwriter:2 cast:3
Q4011833	It Happened in the Park	1953	12	12.25	director:1 cinematographer:1 screenwriter:10 cast:5
Q3427528	Location Hunting in Palestine	1965	14	12.20	cinematographer:4 composer:8 screenwriter:2
Q6098296	Raiders of the Lost Ark: The Adaptation	1989	15	12.20	composer:13 screenwriter:2
Q1634259	On Dangerous Ground	1952	14	12.20	director:4 composer:8 screenwriter:2
Q1521254	The Outlaw	1943	13	12.20	director:2 cinematographer:4 composer:1 screenwriter:6
Q2137376	The Savage Innocents	1960	13	12.20	director:4 cinematographer:1 editor:6 screenwriter:2
Q1661151	Life, and Nothing More...	1992	13	12.20	director:4 cinematographer:1 editor:4 screenwriter:4
Q126183	Working Girl	1988	12	12.20	director:1 cinematographer:8 editor:3 cast:2
Q7038679	Ningen	1962	11	12.20	director:3 composer:5 screenwriter:3 cast:10
Q4701990	Akuto (Film)	1965	11	12.20	director:3 composer:5 screenwriter:3 cast:10
Q7837572	Tree Without Leaves	1986	11	12.20	director:3 composer:5 screenwriter:3 cast:10
Q3206847	Daddy's Gone A-Hunting	1969	15	12.20	editor:2 composer:13
Q16252919	The Man Who Loved Cat Dancing	1973	15	12.20	editor:2 composer:13
Q3549484	The Lady Gambles	1949	13	12.15	cinematographer:6 editor:3 composer:4 cast:1
Q3639430	White Sister	1972	12	12.15	cinematographer:1 editor:1 screenwriter:10 cast:5
Q3285471	What Am I Doing in the Middle of the Revolution?	1972	14	12.15	director:2 editor:1 composer:9 screenwriter:2 cast:1
Q1166194	Exorcist II: The Heretic	1977	14	12.15	director:1 cinematographer:1 editor:1 composer:9 screenwriter:2 cast:1
Q1615696	Monsignor	1982	14	12.15	cinematographer:1 composer:13 cast:3
Q839341	Far and Away	1992	14	12.15	cinematographer:1 composer:13 cast:3
Q839042	Nixon	1995	14	12.15	cinematographer:1 composer:13 cast:3
Q124497778	A Big Bold Beautiful Journey	2025	14	12.15	director:1 composer:13 cast:3
Q698309	Yamato	2005	13	12.15	composer:13 cast:7
Q1523586	A Hatful of Rain	1957	14	12.10	director:1 cinematographer:2 editor:2 composer:8 screenwriter:1
Q1379881	Liza	1972	12	12.10	composer:2 screenwriter:10 cast:6
Q3232745	The Fossil	1975	11	12.10	director:4 composer:7 cast:10
Q603857	11'09"01 September 11	2002	11	12.10	director:5 cinematographer:2 editor:2 screenwriter:2 cast:6
Q3429874	Oh... Rosalinda!!	1955	13	12.10	director:5 editor:3 composer:1 screenwriter:4
Q728267	T2-3D: Battle Across Time	1996	13	12.10	director:5 cinematographer:1 composer:2 screenwriter:5
Q1109210	Adua and Her Friends	1960	12	12.05	editor:6 screenwriter:6 cast:5
Q1760695	No Direction Home	2005	12	12.05	director:11 composer:1 cast:1
Q1885686	Stavisky	1974	10	12.05	director:4 cinematographer:4 editor:1 screenwriter:1 cast:9
Q1098140	Hollow Man	2000	13	12.00	director:3 cinematographer:4 editor:2 composer:4
Q2268902	Where Is Freedom?	1952	13	12.00	director:1 cinematographer:3 editor:1 composer:1 screenwriter:7
Q244115	55 Days at Peking	1963	13	12.00	director:4 editor:1 composer:6 screenwriter:2 cast:2
Q646400	Liliom	1934	12	12.00	director:5 cinematographer:2 screenwriter:5 cast:2
Q3683747	The Syndicate: A Death in the Family	1969	12	12.00	cinematographer:2 editor:3 screenwriter:7 cast:4
Q15963780	Carol	2015	14	12.00	cinematographer:1 composer:12 screenwriter:1 cast:2
Q2164458	The Seafarers	1953	12	12.00	director:11 cinematographer:1
Q2548052	The Young One	1960	12	12.00	director:5 cinematographer:2 screenwriter:5 cast:2
Q1212396	Boxcar Bertha	1972	12	12.00	director:11 cinematographer:1
Q2897243	Death for Five Voices	1995	12	12.00	director:10 cinematographer:2
Q7765586	The Southern Star	1969	11	12.00	cinematographer:11 cast:4
Q14836211	The Birth of Love	1993	11	12.00	cinematographer:11 cast:4
Q5098451	Children of Hiroshima	1952	8	12.00	director:3 cinematographer:1 composer:1 screenwriter:3 cast:18
Q407184	Air Force One	1997	12	11.95	cinematographer:8 composer:4 cast:3
Q3958312	Up the MacGregors!	1967	14	11.95	editor:3 composer:9 screenwriter:2 cast:1
Q914157	Teorema	1968	14	11.95	editor:3 composer:9 screenwriter:2 cast:1
Q645490	Metello	1970	14	11.95	editor:3 composer:9 screenwriter:2 cast:1
Q1427222	Postcards from the Edge	1990	12	11.95	director:1 cinematographer:8 editor:3 cast:1
Q1419056	The Fireworks Wednesday	2006	12	11.95	director:3 cinematographer:2 editor:3 composer:1 screenwriter:3 cast:3
Q3024730	Destinées	1954	10	11.95	cinematographer:2 screenwriter:8 cast:11
Q5778160	Comandamenti per un gangster	1968	14	11.95	editor:1 composer:9 screenwriter:4 cast:1
Q820447	The Return of a Man Called Horse	1976	12	11.95	director:1 cinematographer:3 editor:8 cast:3
Q631841	Madame X	1966	13	11.90	cinematographer:6 editor:3 composer:4
Q31786	More Than a Miracle	1967	13	11.90	cinematographer:2 editor:1 screenwriter:10
Q903257	Peggy Sue Got Married	1986	12	11.90	director:7 cinematographer:1 editor:2 composer:2 cast:2
Q658847	How to Steal a Million	1966	14	11.90	cinematographer:1 composer:13 cast:2
Q3036314	Penelope	1966	14	11.90	cinematographer:1 composer:13 cast:2
Q5506648	The Betrayal	1969	14	11.90	cinematographer:2 editor:3 composer:9
Q3376986	Pete 'n' Tillie	1972	14	11.90	cinematographer:1 composer:13 cast:2
Q267018	Stepmom	1998	14	11.90	cinematographer:1 composer:13 cast:2
Q102438	Harry Potter and the Philosopher's Stone	2001	14	11.90	cinematographer:1 composer:13 cast:2
Q884223	Fury	1936	13	11.90	director:5 composer:3 screenwriter:5
Q1708667	Midway	1976	13	11.90	composer:13 cast:6
Q428437	Gli indifferenti	1964	12	11.90	cinematographer:4 editor:4 composer:3 screenwriter:1 cast:4
Q738533	Italianamerican	1974	12	11.90	director:11 screenwriter:1
Q3223684	The Shortest Day	1963	9	11.90	director:2 cinematographer:1 editor:4 screenwriter:2 cast:14
Q11486175	Zatoichi and the Chest of Gold	1964	13	11.85	cinematographer:6 composer:7 cast:1
Q1102351	The Sunday Woman	1975	12	11.85	cinematographer:2 composer:9 screenwriter:1 cast:7
Q12125174	It Takes Two	1988	14	11.85	cinematographer:2 composer:12 cast:1
Q691838	Doc Hollywood	1991	14	11.85	cinematographer:2 composer:12 cast:1
Q1956926	Mystery, Alaska	1999	14	11.85	cinematographer:2 composer:12 cast:1
Q352431	Adaptation	2002	13	11.85	cinematographer:1 composer:12 cast:5
Q4536	Matchstick Men	2003	13	11.85	director:5 cinematographer:1 composer:7 cast:1
Q25136234	Wonderstruck	2017	13	11.85	cinematographer:1 composer:12 cast:5
Q2388839	Il gatto	1977	13	11.80	editor:3 composer:9 screenwriter:1 cast:4
Q591320	Firelight	1964	12	11.80	director:10 screenwriter:2
Q3485595	Six Men Getting Sick	1967	12	11.80	director:9 cinematographer:1 editor:2
Q2839083	Autumn Almanac	1984	12	11.80	director:4 composer:4 screenwriter:4 cast:4
Q7742105	The Innocent	1985	12	11.80	director:1 cinematographer:10 composer:1
Q19360215	With Beauty and Sorrow	1965	11	11.80	director:1 composer:7 screenwriter:3 cast:10
Q3772158	Gli ordini sono ordini	1972	12	11.75	cinematographer:2 screenwriter:10 cast:3
Q1306308	Comes a Horseman	1978	12	11.75	director:4 cinematographer:5 editor:1 composer:2 cast:1
Q2118787	Two Evil Eyes	1990	12	11.75	director:4 editor:1 composer:2 screenwriter:5 cast:3
Q3418651	Ramuntcho	1959	11	11.75	cinematographer:11 cast:3
Q657259	Great Expectations	1998	11	11.75	director:4 cinematographer:7 cast:3
Q3858642	Professor, My son	1946	14	11.70	cinematographer:1 editor:2 composer:10 screenwriter:1
Q3797309	In ginocchio da te	1964	14	11.70	editor:3 composer:9 screenwriter:2
Q3878144	Non son degno di te	1965	14	11.70	editor:3 composer:9 screenwriter:2
Q3953482	Se non avessi più te	1965	14	11.70	editor:3 composer:9 screenwriter:2
Q209737	Arabian Nights	1974	14	11.70	editor:3 composer:9 screenwriter:2
Q3536469	Whistle Stop	1946	13	11.70	cinematographer:6 composer:6 screenwriter:1
Q3795502	The Vagabond King	1956	12	11.70	director:1 cinematographer:9 editor:1 composer:1
Q3841867	But Not for Me	1959	12	11.70	cinematographer:9 screenwriter:3
Q762649	The Music Man	1962	12	11.70	cinematographer:9 editor:3
Q848785	Jarhead	2005	12	11.70	cinematographer:10 editor:1 composer:1
Q1196127	Classe tous risques	1960	10	11.70	cinematographer:3 editor:1 composer:6 cast:12
Q150867	The Great War	1959	13	11.65	cinematographer:2 composer:10 screenwriter:1 cast:3
Q1354121	Melinda and Melinda	2004	13	11.65	cinematographer:5 composer:8 cast:1
Q1199648	Gardens of Stone	1987	12	11.65	director:7 cinematographer:1 editor:2 composer:2 cast:1
Q822856	Tormented	2011	12	11.65	cinematographer:9 composer:3 cast:1
Q846987	Not with My Wife, You Don't!	1966	14	11.65	cinematographer:1 composer:13 cast:1
Q1631607	SpaceCamp	1986	14	11.65	cinematographer:1 composer:13 cast:1
Q429144	Sacco and Vanzetti	1971	13	11.65	cinematographer:1 editor:3 composer:9 cast:3
Q3794492	The Long Silence	1993	13	11.65	director:1 editor:3 composer:9 cast:3
Q496718	Welcome to Dongmakgol	2005	13	11.65	composer:13 cast:5
Q3790668	I Delfini	1960	12	11.65	cinematographer:4 editor:4 composer:3 screenwriter:1 cast:3
Q3209465	Drama of the Rich	1974	12	11.65	editor:3 composer:9 cast:7
Q3824476	The Lady of the Camellias	1981	12	11.65	editor:3 composer:9 cast:7
Q6302685	Judgement	1999	12	11.65	director:6 screenwriter:6 cast:1
Q10979291	Night Fishing	2010	12	11.65	director:6 screenwriter:6 cast:1
Q3604746	Avatar: The Way of Water	2022	12	11.65	director:5 cinematographer:1 editor:1 screenwriter:5 cast:1
Q19544333	Ediths Tagebuch	1983	11	11.65	cinematographer:8 composer:3 cast:5
Q15283831	The Attorney	2013	11	11.65	editor:6 composer:5 cast:9
Q22000321	Happy End	2017	11	11.65	director:3 cinematographer:2 editor:3 screenwriter:3 cast:5
Q3201804	Sheer Madness	1983	10	11.65	director:1 cinematographer:8 screenwriter:1 cast:7
Q11444746	Husband and Wife	1953	13	11.60	director:6 composer:7
Q11447160	Wife	1953	13	11.60	director:6 composer:7
Q736704	Rapture	1965	13	11.60	composer:6 screenwriter:7 cast:2
Q5584006	Goopy Bagha Phire Elo	1992	13	11.60	editor:6 composer:1 screenwriter:6
Q667755	Lola Montès	1955	12	11.60	director:3 cinematographer:2 editor:2 composer:2 screenwriter:3 cast:2
Q1171655	Someone's Watching Me!	1978	12	11.60	director:8 screenwriter:4
Q6010498	In Public	2001	12	11.60	director:4 cinematographer:4 screenwriter:4
Q140913148	The Empty Table	1985	11	11.60	director:4 composer:7 cast:8
Q19587078	Tale of Tales	2015	10	11.60	director:1 cinematographer:6 editor:1 composer:1 screenwriter:1 cast:8
Q956636	Joe's Apartment	1996	14	11.60	cinematographer:2 composer:12
Q1356753	Stalag 17	1953	13	11.60	director:2 editor:8 composer:3
Q626745	The Alamo	2004	13	11.60	cinematographer:1 composer:12 cast:4
Q474244	Grand Slam	1967	13	11.55	editor:3 composer:9 screenwriter:1 cast:3
Q540699	My Dear Killer	1972	13	11.55	editor:3 composer:9 screenwriter:1 cast:3
Q954683	Libera, My Love	1975	13	11.55	editor:3 composer:9 screenwriter:1 cast:3
Q3959943	Si salvi chi vuole	1980	13	11.55	editor:4 composer:9 cast:3
Q645786	Control	1987	13	11.55	editor:4 composer:9 cast:3
Q603865	Regarding Henry	1991	13	11.55	director:1 cinematographer:2 editor:3 composer:7 cast:1
Q3139810	The Wolves	1956	12	11.55	screenwriter:12 cast:3
Q258319	Castle Keep	1969	12	11.55	cinematographer:6 composer:6 cast:3
Q1054708	Il Marchese del Grillo	1981	12	11.55	editor:4 screenwriter:8 cast:3
Q1811797	Tenebrae	1982	12	11.55	director:3 cinematographer:2 editor:3 screenwriter:4 cast:1
Q1165071	Danton	1983	10	11.55	director:2 cinematographer:1 editor:1 screenwriter:6 cast:9
Q1780808	The Last Mimzy	2007	14	11.50	editor:1 composer:11 screenwriter:2
Q574120	Halbblut	1919	12	11.50	director:5 cinematographer:2 screenwriter:5
Q3614595	Help Me	1969	12	11.50	cinematographer:2 editor:3 screenwriter:7 cast:2
Q29163736	Widows	2018	12	11.50	editor:4 composer:8 cast:6
Q2054677	Burn!	1969	13	11.50	director:1 cinematographer:1 editor:1 composer:9 screenwriter:1 cast:2
Q44686	City Hall	1996	13	11.50	cinematographer:2 composer:4 screenwriter:7
Q3837841	The Fighting Pimpernel	1950	12	11.50	director:5 composer:3 screenwriter:4 cast:2
Q1185312	Dementia 13	1963	12	11.50	director:7 screenwriter:5
Q858584	You're a Big Boy Now	1966	12	11.50	director:7 screenwriter:5
Q481310	Visions of Eight	1973	12	11.50	director:8 editor:3 composer:1
Q28222734	Distant Vision	2015	12	11.50	director:7 screenwriter:5
Q1984591	The 317th Platoon	1964	11	11.50	cinematographer:11 cast:2
Q7743127	The Jerusalem File	1972	11	11.50	cinematographer:11 cast:2
Q159063	The Reader	2008	11	11.50	cinematographer:11 cast:2
Q3358564	Out 1	1971	9	11.50	director:3 cinematographer:1 editor:2 screenwriter:3 cast:12
Q670607	Young Husbands	1958	13	11.45	editor:1 composer:10 screenwriter:2 cast:3
Q3793593	Count Tacchia	1982	12	11.45	director:2 cinematographer:2 editor:4 screenwriter:4 cast:1
Q2558483	ABC Africa	2001	12	11.45	director:4 editor:4 screenwriter:4 cast:1
Q1877554	Mr. Arkadin	1955	11	11.45	director:3 cinematographer:2 composer:2 screenwriter:4 cast:5
Q376721	Unholy Desire	1964	11	11.45	director:2 cinematographer:2 composer:6 screenwriter:1 cast:7
Q3223644	The Pied Piper	1972	11	11.45	director:2 cinematographer:6 screenwriter:3 cast:3
Q1034022	Giordano Bruno	1973	12	11.45	cinematographer:3 composer:9 cast:5
Q509913	Legend	1985	12	11.40	director:5 editor:3 composer:4 cast:2
Q1471358	Jack	1996	12	11.40	director:7 cinematographer:1 editor:2 composer:2
Q143835	Holy Smoke!	1999	12	11.40	director:2 editor:2 composer:6 screenwriter:2 cast:4
Q1080841	A Slice of Life	1954	11	11.40	editor:2 screenwriter:9 cast:6
Q5559694	Gidget Goes to Rome	1963	14	11.40	cinematographer:1 composer:13
Q3280335	Conrack	1974	14	11.40	cinematographer:1 composer:13
Q222868	It Could Happen to You	1994	14	11.40	editor:2 composer:12
Q1425487	The General's Daughter	1999	14	11.40	editor:1 composer:12 screenwriter:1
Q3927008	When Women Lost Their Tails	1972	13	11.40	cinematographer:1 editor:3 composer:9 cast:2
Q15689261	The Little House	2010	13	11.40	composer:13 cast:4
Q18486021	Star Wars: Episode VIII – The Last Jedi	2017	13	11.40	composer:13 cast:4
Q948292	Task Force	1950	12	11.40	cinematographer:9 composer:3
Q784790	Come Fill the Cup	1951	12	11.40	cinematographer:9 composer:3
Q2979642	Close to My Heart	1951	12	11.40	cinematographer:9 composer:3
Q1481710	O. Henry's Full House	1952	12	11.40	director:2 cinematographer:5 composer:1 screenwriter:4
Q3287331	Mara Maru	1952	12	11.40	cinematographer:9 composer:3
Q2739071	Room for One More	1952	12	11.40	cinematographer:9 composer:3
Q3323552	The Moon Is... the Sun's Dream	1992	12	11.40	director:6 screenwriter:6
Q190525	Memento	2000	11	11.40	director:4 cinematographer:2 composer:1 screenwriter:4 cast:4
Q1042145	Perhaps Love	2005	11	11.40	cinematographer:10 editor:1 cast:2
Q628082	In Time	2011	11	11.40	cinematographer:10 editor:1 cast:2
Q125971387	Bugonia	2025	11	11.40	director:4 cinematographer:2 editor:4 composer:1 cast:4
